"idnum","p4b23","k5e2a","f1h2","f1e3","m1e4b","f1g7","m1a13","m1g2","m1g3","m1g4","f1f2","m1f5","f1c2f","m1a7","m1b18","m2g6c","f2k6","m2k14","m2d3a","m2g4c","m2g13","f2h8a2","f2h10","m2h8e","m2h8b","m2h19b","m2h19i","m2j16","f2h19","m4d3","m4i7b","p4b15","p4l3","p4l5","p4l11","p4l19","p4l22","p4l28","p4l32","p4l43","m4h1g","m4i0g","m4h4","m4i0p","f4i8a1","f4j24a","p4a22","f4a2","f4i0n1","p4b9","p4b21_1","p4c8","p4h1"
"1063",10,"0","2","2","1","1","1","5","5","4","1","2","1","1","1","1","2","2","1","2","3","1","2","1","2","2","1","2","2","1","2","1","2","0","2","0","0","0","0","0","1","1","1","1","2","1","0","1","2","1","0","3","0"
"1064",7,"0","1","3","1","2","1","5","5","4","1","1","2","1","1","2","2","2","1","2","1","2","2","1","2","2","2","2","2","1","1","1","2","0","2","0","0","0","0","0","1","1","2","2","2","2","0","1","2","1","0","4","2"
"1065",11,"3","1","4","1","1","1","2","1","3","2","1","1","2","1","1","2","2","1","6","1","2","2","1","2","2","2","2","2","1","2","1","2","0","1","1","1","1","0","1","1","1","1","2","2","2","1","1","4","0","0","3","2"
"1066",7,"1","1","2","1","2","1","5","4","4","2","1","1","1","1","1","2","2","1","6","1","2","2","1","2","2","2","2","1","1","1","0","2","0","2","0","0","0","0","0","1","1","1","2","2","2","1","4","3","0","0","4","0"
"1067",8,"1","1","2","1","2","1","5","5","4","2","1","1","1","1","1","2","2","1","2","1","2","2","1","2","2","1","1","1","1","2","1","1","0","0","0","0","0","1","1","2","2","1","2","2","2","0","3","4","0","0","4","2"
"1068",12,"0","1","1","2","1","1","5","1","4","2","2","1","1","1","1","2","2","1","3","3","2","2","1","1","2","2","2","2","2","2","1","2","0","2","0","0","0","0","1","1","2","1","2","2","2","1","2","1","0","0","4","0"
"1069",10,"0","1","3","1","2","1","5","5","3","1","4","1","1","1","2","2","2","1","4","1","2","2","1","1","2","2","2","1","1","1","0","2","0","2","0","0","0","0","0","1","2","1","2","2","2","1","3","2","0","0","4","2"
"1070",10,"1","1","3","1","1","1","5","5","4","1","1","1","1","1","1","2","2","1","4","1","2","2","2","2","2","2","2","1","1","2","1","2","0","1","0","0","0","0","0","1","2","1","2","2","2","1","1","1","1","1","4","0"
"1071",9,"0","1","2","1","1","1","5","5","3","2","2","1","1","1","1","2","2","1","204","4","2","2","2","2","1","2","2","2","1","2","0","2","0","1","1","0","0","2","0","1","1","2","2","2","2","1","3","2","0","0","3","1"
"1072",9,"1","1","3","1","2","1","5","5","4","1","2","1","1","1","1","1","1","2","2","1","2","2","2","2","2","2","2","2","1","2","1","2","0","2","0","0","0","0","0","1","1","1","1","2","2","0","1","2","1","0","4","0"
"1073",9,"1","1","1","1","2","1","5","5","4","2","1","1","2","2","1","2","2","1","2","1","2","2","2","2","2","2","2","1","1","2","1","2","0","2","0","0","0","0","0","1","1","1","2","2","2","0","7","1","1","1","4","0"
"1074",8,"4","1","1","1","1","1","5","5","4","1","2","1","1","1","1","2","2","1","2","1","2","2","1","2","2","2","2","2","1","2","0","2","0","1","0","0","0","0","2","3","2","1","1","2","2","1","4","1","0","0","4","0"
"1075",9,"1","1","1","1","1","2","5","5","3","2","2","1","1","1","1","2","2","1","1","1","2","2","1","2","2","1","1","2","1","2","1","2","0","0","0","0","0","0","1","1","1","1","2","2","2","1","1","1","1","0","4","0"
"1076",8,"4","1","1","1","1","1","5","5","4","1","2","1","1","1","2","2","2","2","2","5","2","1","2","2","2","2","2","1","1","2","1","1","1","1","0","0","0","1","0","1","2","1","2","2","2","0","3","2","1","1","2","0"
"1077",10,"0","1","1","2","2","1","5","5","4","2","1","1","1","1","2","2","2","1","201","1","2","2","1","1","2","2","1","2","1","2","1","1","0","2","0","0","0","2","0","1","1","2","1","2","2","0","3","1","1","0","4","1"
"1078",8,"0","2","1","1","1","1","5","5","4","2","2","1","1","1","1","2","2","2","2","4","2","2","1","2","2","2","2","2","2","2","1","2","1","1","1","1","0","1","1","2","2","1","2","2","2","1","1","4","1","0","3","0"
"1079",8,"1","1","3","1","1","1","5","5","4","2","1","1","1","1","1","2","2","1","2","1","2","2","2","2","2","2","2","2","1","2","0","2","0","2","0","0","0","1","0","1","1","2","2","2","2","1","1","2","1","0","4","0"
"1080",7,"1","2","1","2","1","1","3","3","3","2","2","1","1","1","1","1","2","1","4","3","2","2","2","2","2","1","2","1","1","2","1","2","0","2","0","0","0","0","2","1","2","1","1","2","2","1","1","2","1","0","3","0"
"1081",10,"2","1","1","1","1","1","5","5","4","1","1","1","2","1","1","2","2","1","4","2","2","2","1","2","2","2","2","2","1","2","0","2","0","0","0","0","0","0","0","2","1","2","1","2","2","0","4","1","0","0","4","0"
"1082",8,"0","1","3","1","1","1","5","5","4","2","2","1","1","1","1","2","1","1","4","2","2","2","2","2","2","2","2","2","1","2","1","2","1","2","0","0","1","0","1","2","2","2","2","2","2","0","4","2","0","0","4","1"
"1083",8,"0","1","3","1","1","1","5","4","3","2","2","1","1","1","2","2","2","1","2","2","2","2","2","2","2","2","2","1","1","2","1","1","0","1","0","0","0","0","1","2","2","1","2","2","1","1","1","3","0","1","4","0"
"1084",8,"0","1","1","1","1","1","5","5","4","2","2","2","1","1","1","2","2","1","6","1","1","2","1","2","2","2","2","2","1","2","1","2","0","2","0","0","0","2","2","3","1","2","1","2","2","0","1","1","1","0","3","0"
"1085",11,"4","2","1","1","1","1","5","5","4","1","2","1","1","1","1","2","2","1","202","1","2","2","1","2","2","2","1","2","1","2","1","2","0","2","1","2","2","2","2","1","2","1","1","2","2","0","1","2","0","0","4","0"
"1086",9,"2","1","3","1","1","1","5","5","4","2","3","1","2","1","1","2","2","1","6","2","2","2","2","2","2","2","2","1","1","1","0","2","0","1","0","0","0","0","1","1","1","1","2","2","1","0","3","3","0","1","3","0"
"1087",10,"2","1","3","1","1","1","5","5","4","2","2","2","1","1","1","2","2","1","4","1","2","2","1","2","2","1","2","2","1","2","1","2","1","1","0","0","0","0","1","1","1","1","1","2","2","1","2","2","0","1","4","3"
"1088",9,"4","1","1","2","1","1","5","5","4","2","2","1","1","1","1","2","2","1","6","2","2","2","1","2","2","2","2","2","1","2","1","2","0","2","0","0","0","0","0","3","1","1","2","2","2","1","1","2","1","0","4","0"
"1089",7,"1","1","1","1","1","1","5","5","4","1","2","1","1","1","1","1","2","1","2","5","2","2","1","2","2","1","1","1","2","2","1","1","0","2","1","1","0","1","1","3","2","1","2","2","2","1","1","2","0","1","4","0"
"1090",9,"0","1","4","2","2","1","5","5","4","2","2","1","1","1","1","2","2","2","5","1","2","2","1","2","2","2","2","2","1","2","1","2","0","1","0","0","0","0","0","2","2","2","2","2","2","0","1","2","1","0","3","0"
"1091",10,"4","1","2","1","2","1","3","5","4","1","2","1","1","2","1","2","2","1","3","1","2","2","1","2","2","2","2","1","1","2","0","2","0","2","0","1","0","1","2","1","2","1","2","2","2","1","2","1","0","1","4","2"
"1092",11,"0","2","1","1","1","1","5","5","4","2","2","1","1","1","1","2","2","1","1","4","2","2","2","2","2","2","2","2","1","2","0","1","0","1","0","0","0","1","1","1","1","1","1","2","2","0","2","1","0","0","2","0"
"1093",9,"0","1","3","1","1","1","5","4","3","2","2","2","1","1","1","1","2","1","3","1","2","2","1","1","2","1","2","1","1","2","1","1","0","2","0","0","0","0","0","4","1","1","2","2","2","1","4","1","0","1","4","0"
"1094",11,"2","2","2","1","1","1","5","5","4","1","2","1","1","1","1","2","2","1","201","2","2","2","1","2","2","2","2","2","2","2","1","1","0","1","0","1","0","0","1","1","2","1","2","2","2","0","1","1","1","0","4","0"
"1095",12,"0","2","2","2","1","1","5","5","4","1","2","2","1","1","1","2","2","1","6","1","2","2","1","2","2","2","1","2","1","2","1","1","1","1","0","0","0","1","0","1","2","1","2","2","1","1","3","3","1","0","4","2"
"1096",10,"0","2","1","2","1","1","5","5","4","2","2","1","1","1","1","2","2","2","4","5","2","2","1","1","2","1","2","2","1","2","1","2","0","0","0","0","0","0","0","2","1","1","2","2","2","0","1","1","1","1","4","0"
"1097",10,"3","1","1","2","1","1","5","5","4","1","4","1","1","1","2","2","2","2","203","5","2","2","1","2","2","2","2","2","1","1","1","2","0","1","0","0","0","0","0","4","1","2","2","2","2","0","1","1","1","0","4","0"
"1098",10,"0","1","2","1","1","1","5","5","4","2","2","1","1","1","1","2","2","1","1","1","2","2","1","2","2","2","2","2","1","2","1","2","0","2","0","0","0","0","0","1","1","1","1","2","2","0","1","3","1","1","4","0"
"1099",9,"1","1","1","1","1","1","5","5","4","1","1","1","1","1","1","2","2","1","1","1","2","2","2","2","2","1","2","2","1","2","1","2","0","2","0","0","0","0","1","1","1","1","1","2","2","0","1","1","0","0","4","0"
"1100",7,"0","1","1","1","1","1","5","5","4","1","2","1","1","1","1","2","2","1","6","2","2","2","1","1","2","2","2","2","1","2","1","1","0","2","0","0","0","0","0","1","1","1","2","2","2","0","1","1","1","0","4","0"
"1101",9,"0","1","3","1","1","1","5","5","4","2","1","1","1","1","1","2","2","1","5","2","1","2","1","2","2","1","2","2","1","2","1","2","0","2","0","0","0","0","1","1","2","1","2","2","2","1","1","2","1","0","4","0"
"1102",9,"0","1","1","1","1","1","5","5","4","2","2","1","1","1","1","2","2","1","4","1","2","2","1","2","2","2","2","2","1","2","1","2","0","2","0","0","0","0","1","1","2","1","2","2","2","1","1","2","1","1","4","0"
"1103",11,"1","1","3","1","1","1","5","5","4","2","2","1","1","1","1","2","2","1","2","1","2","2","1","2","2","2","2","2","1","2","0","2","0","2","0","0","0","0","1","1","2","1","2","2","2","0","1","2","1","1","4","0"
"1104",9,"1","1","3","1","1","1","5","5","4","2","2","2","1","1","1","1","2","1","1","1","2","2","1","1","2","2","2","2","1","2","0","1","0","0","0","0","0","0","0","2","1","1","1","2","1","0","1","2","1","0","4","0"
"1105",9,"1","1","2","1","1","1","5","5","4","1","1","1","1","1","1","2","2","1","2","1","2","2","1","2","2","2","2","2","1","2","1","2","0","2","0","0","0","0","1","1","1","1","2","2","2","1","1","2","1","1","4","0"
"1106",10,"0","2","1","1","1","1","5","5","4","2","2","1","1","1","1","2","2","1","2","1","2","2","1","2","2","2","2","2","1","2","1","1","0","1","0","0","0","0","1","1","1","2","2","2","2","0","1","1","1","0","4","0"
"1107",8,"0","1","2","1","1","1","3","5","4","2","1","2","1","1","1","2","2","1","3","1","2","2","1","2","2","1","1","2","1","2","1","2","0","2","0","0","0","0","1","1","1","1","1","2","2","0","3","2","1","0","4","0"
"1108",8,"0","1","1","1","2","1","5","5","4","2","2","1","1","1","1","2","2","2","3","5","2","2","1","2","2","2","2","1","1","1","1","1","0","1","0","0","0","0","0","4","2","1","2","2","2","1","3","3","1","0","4","0"
"1109",9,"3","1","2","1","2","1","5","5","3","2","2","2","1","1","1","2","2","1","4","1","2","2","1","2","2","2","2","1","1","2","1","2","1","1","0","0","0","0","0","1","1","1","2","2","2","1","1","3","1","0","4","3"
"1110",10,"2","1","3","1","1","1","5","5","4","1","2","1","1","1","1","2","2","1","1","2","2","2","1","2","2","2","2","1","1","2","1","2","0","2","0","0","0","0","1","1","2","1","1","2","2","0","1","1","1","0","4","4"
"1111",11,"0","1","1","1","1","1","5","5","4","2","3","1","1","1","1","2","2","2","5","3","1","2","1","2","2","2","2","1","1","2","1","2","0","1","0","0","0","0","0","1","2","2","1","2","2","0","1","3","0","1","4","3"
"1112",11,"1","2","3","1","1","1","5","5","4","1","2","1","1","1","1","2","2","2","1","3","2","2","1","2","2","2","2","2","1","1","1","1","0","2","0","0","0","0","0","1","1","2","1","2","2","0","1","2","0","0","4","3"
"1113",10,"0","1","2","1","2","1","4","5","2","1","1","2","1","1","1","2","1","1","6","1","1","2","1","2","2","2","2","2","1","2","1","2","0","1","0","0","0","0","0","1","2","1","2","2","2","1","1","3","1","1","4","0"
"1114",10,"0","2","1","2","1","1","5","5","4","1","2","1","1","2","2","2","2","2","4","5","2","2","2","2","2","1","1","2","1","2","1","2","1","1","1","0","0","1","1","1","2","2","2","2","2","0","1","1","1","0","3","0"
"1115",8,"1","1","1","1","1","1","5","5","4","2","2","1","1","1","1","2","2","1","5","1","2","2","2","2","2","2","2","2","2","2","1","2","2","1","1","0","0","0","0","1","1","1","2","2","2","0","1","2","1","0","4","0"
"1116",8,"0","1","3","1","1","1","4","5","4","1","3","1","2","2","1","2","2","1","1","1","2","1","1","1","2","2","1","1","1","2","0","2","1","2","0","0","2","1","1","1","2","2","2","2","2","0","4","1","0","0","3","2"
"1117",10,"0","1","2","1","1","1","5","5","4","2","2","1","1","1","1","2","2","1","2","1","2","2","1","2","2","2","2","2","1","2","1","1","0","2","0","0","0","0","1","1","1","1","2","2","2","0","1","1","1","0","4","0"
"1118",11,"0","1","2","1","1","1","5","5","4","2","3","1","1","1","1","2","2","1","4","1","1","2","1","2","2","1","1","2","1","2","0","2","0","2","0","2","2","0","0","1","2","1","2","2","2","1","1","1","1","0","4","0"
"1119",10,"2","2","1","1","1","1","4","5","4","2","2","1","1","1","1","2","2","1","3","2","2","2","1","2","2","2","2","1","2","2","1","1","0","0","0","0","0","0","0","1","1","2","2","2","2","0","1","3","0","0","1","0"
"1120",9,"3","1","1","1","1","1","4","5","4","1","1","1","1","1","2","2","2","1","3","4","2","2","2","2","2","2","2","2","2","2","1","1","0","2","0","0","0","0","0","4","1","1","1","2","2","0","1","2","1","0","4","0"
"1121",10,"0","1","1","1","1","1","5","5","4","2","2","1","1","1","1","2","2","1","6","1","2","2","1","2","2","2","2","1","1","2","0","2","1","2","0","0","0","0","0","1","1","1","1","2","1","0","4","2","1","0","4","1"
"1122",8,"2","1","3","1","1","1","5","5","4","2","2","1","1","1","1","2","2","1","3","1","2","2","1","1","2","1","1","1","1","2","1","2","1","2","0","0","0","0","0","2","1","1","1","2","2","1","3","2","1","0","4","1"
"1123",7,"3","1","2","1","1","1","3","5","4","1","1","1","1","1","2","2","2","1","204","3","2","2","2","2","2","2","2","1","1","2","1","2","0","2","1","0","0","0","0","1","1","1","2","2","2","0","1","1","1","0","4","0"
"1124",10,"0","1","1","1","1","1","5","5","4","1","2","1","1","1","1","2","2","1","3","5","2","2","1","2","2","2","2","2","1","2","1","1","1","1","1","0","0","0","2","4","1","1","2","2","2","0","1","1","0","1","3","0"
"1125",11,"0","1","4","1","1","1","5","5","3","2","2","1","1","1","1","2","2","1","6","1","2","2","1","2","2","2","2","1","1","2","1","2","0","1","0","0","0","1","1","4","1","1","2","2","2","1","1","3","0","1","3","0"
"1126",9,"0","1","2","1","2","1","5","5","4","1","3","1","1","2","2","2","1","1","3","1","2","2","1","2","1","1","2","2","1","2","0","2","1","2","0","0","0","0","0","1","1","2","2","2","2","1","3","1","1","0","2","0"
"1127",9,"0","1","2","1","2","1","5","5","4","2","3","1","1","1","1","2","2","1","4","4","2","2","1","1","2","1","2","2","1","2","1","2","0","2","0","0","0","0","0","2","2","1","1","2","2","0","1","2","1","0","4","0"
"1128",11,"0","1","1","1","1","1","5","5","4","1","1","1","1","1","1","2","2","1","2","1","2","2","1","2","2","2","2","2","1","2","1","2","0","2","0","0","0","1","0","1","2","1","1","2","2","0","2","2","1","1","4","0"
"1129",9,"2","1","3","1","2","1","5","5","4","2","3","1","2","1","1","1","2","1","2","5","2","2","1","2","2","2","2","1","1","2","1","2","0","2","0","1","0","0","0","1","2","1","1","2","2","0","4","3","0","0","3","0"
"1130",9,"3","1","1","1","1","1","5","5","4","1","2","1","1","1","1","2","2","1","3","1","1","2","1","2","2","2","1","2","1","2","1","2","0","2","0","0","0","1","2","1","2","1","2","2","2","0","1","2","1","0","4","0"
"1131",9,"0","1","1","1","1","1","5","5","4","1","1","1","1","1","1","2","2","1","5","1","2","2","1","2","2","2","2","2","1","2","0","2","0","2","0","0","0","1","1","1","1","1","2","2","2","0","3","2","1","1","4","0"
"1132",11,"0","1","2","1","1","1","4","5","4","1","1","1","2","1","2","2","2","1","4","1","2","2","1","1","2","2","2","1","1","2","0","1","1","2","0","1","0","1","2","2","2","2","2","2","2","1","4","1","0","0","3","4"
"1133",11,"3","1","1","1","2","1","3","5","3","2","3","1","1","1","1","1","2","1","4","1","2","2","1","2","2","2","2","2","1","2","1","2","0","2","0","2","0","1","2","1","2","2","1","2","2","1","1","2","1","1","4","4"
"1134",10,"0","1","3","1","2","1","5","5","4","1","2","2","2","1","1","1","1","1","205","3","2","2","1","2","2","2","2","2","1","1","1","2","0","2","0","0","0","1","0","1","2","1","2","2","2","0","4","3","1","1","4","2"
"1135",7,"2","1","3","1","1","1","5","5","4","2","2","1","1","1","1","2","1","1","4","1","2","2","1","1","2","2","2","2","1","2","0","2","0","1","0","1","1","0","1","1","2","1","2","2","2","1","1","2","0","0","4","2"
"1136",9,"0","1","3","1","2","1","5","5","4","2","2","1","1","1","1","2","2","1","4","1","2","2","1","1","2","2","2","2","1","1","1","2","0","2","0","1","0","1","1","2","1","1","2","2","2","0","1","1","1","1","4","2"
"1137",11,"0","1","3","1","1","1","5","5","4","1","2","1","2","1","1","2","2","1","202","1","2","2","1","2","2","2","2","1","1","2","1","0","0","1","1","0","2","0","0","1","1","1","1","2","1","1","2","3","0","0","4","4"
"1138",7,"3","1","1","1","1","1","5","5","4","1","1","1","2","2","1","2","2","1","202","2","2","2","2","2","2","2","2","2","1","2","0","1","0","1","0","0","0","0","1","1","1","1","1","2","2","0","1","2","1","1","4","0"
"1139",10,"0","1","4","1","1","1","5","5","4","1","1","1","1","1","1","2","2","2","4","1","2","2","1","2","2","2","1","2","1","2","1","2","1","2","0","0","0","0","1","1","1","1","1","2","2","1","1","1","1","1","4","0"
"1140",9,"0","2","2","1","2","1","5","5","4","2","2","1","1","1","1","2","1","2","3","2","2","2","1","2","2","2","2","2","1","2","1","2","0","2","0","0","0","0","0","1","1","1","2","2","2","0","1","1","1","0","4","0"
"1141",7,"0","2","2","1","1","1","5","5","4","1","2","2","2","2","1","2","2","1","2","4","2","2","1","2","2","2","2","1","1","2","1","2","0","1","0","0","0","0","0","1","1","1","2","2","2","1","1","3","1","0","4","1"
"1142",7,"0","1","2","1","1","1","4","4","3","2","2","1","2","1","1","2","2","1","6","1","2","2","1","1","2","2","1","1","1","2","0","2","0","2","0","0","0","0","0","3","2","1","2","2","2","1","4","2","0","1","4","3"
"1143",11,"1","1","3","1","2","1","5","5","4","2","2","1","2","1","1","2","2","1","6","1","2","2","1","1","2","2","2","1","1","2","1","2","0","1","0","0","0","1","1","2","2","1","2","2","2","1","2","3","1","1","4","0"
"1144",9,"1","1","3","2","1","2","4","5","4","2","2","1","2","1","1","2","2","2","3","1","1","2","1","1","2","2","1","1","1","1","1","2","0","0","0","1","1","2","1","2","2","1","1","1","2","0","3","4","0","0","4","2"
"1145",12,"0","1","3","1","2","1","5","4","4","1","1","2","1","1","2","2","2","1","6","1","2","2","2","2","2","2","2","1","1","2","1","1","0","2","0","0","0","0","0","1","1","1","2","2","2","1","4","3","1","1","4","0"
"1146",8,"1","1","2","1","1","1","5","5","3","1","2","1","1","1","1","2","2","1","4","1","2","2","1","2","2","2","2","1","1","2","1","2","0","2","0","0","0","0","0","4","1","1","2","2","2","0","4","1","0","0","4","0"
"1147",10,"0","1","1","2","1","1","4","5","2","2","2","1","1","1","1","2","2","1","6","1","2","2","2","2","2","2","2","2","1","2","0","2","1","1","0","0","0","0","1","3","2","1","2","2","2","1","2","3","0","1","4","1"
"1148",9,"1","1","1","1","1","1","5","5","3","1","2","1","1","1","1","1","2","1","5","1","2","2","1","2","2","2","1","2","1","2","1","1","0","1","1","0","0","0","1","1","1","1","1","2","2","1","4","3","1","0","4","1"
"1149",10,"0","1","2","1","2","1","5","5","4","2","2","1","1","1","1","2","2","1","3","1","2","2","1","1","2","1","2","2","1","2","1","1","0","1","1","1","0","1","1","1","1","1","2","2","1","1","2","1","0","0","4","2"
"1150",11,"1","1","2","1","1","1","4","5","3","1","2","1","1","1","1","1","1","1","4","3","2","2","2","2","2","1","1","1","1","2","0","2","0","2","0","0","0","0","0","1","1","1","2","2","2","1","1","1","1","1","4","0"
"1151",10,"0","1","2","1","1","1","5","5","4","1","1","1","1","1","1","2","2","2","2","1","2","2","1","2","2","1","2","2","1","2","1","2","1","1","0","0","0","1","1","1","1","1","2","2","2","0","3","4","1","0","3","1"
"1152",10,"0","1","1","1","1","1","5","5","3","1","1","1","1","1","1","2","2","1","6","1","2","2","1","1","2","1","2","2","2","2","1","2","1","2","0","0","0","0","1","1","1","1","2","2","2","1","1","1","0","1","4","3"
"1153",9,"2","1","2","2","2","1","4","4","3","2","3","1","2","1","2","2","1","1","203","5","2","2","1","1","2","1","1","1","1","2","1","2","2","2","0","0","0","0","1","1","2","1","2","1","2","1","4","2","0","0","4","4"
"1154",11,"3","2","3","1","1","1","5","5","4","2","2","1","2","2","1","1","1","1","2","2","1","2","1","2","2","2","1","2","1","1","1","2","0","1","0","1","0","0","0","1","1","1","1","2","2","0","1","2","1","0","4","0"
"1155",9,"0","2","1","1","1","1","5","5","4","2","2","1","1","1","1","2","2","2","5","5","2","2","1","2","2","2","2","2","1","2","0","1","0","1","0","0","0","0","0","1","1","1","2","2","2","1","1","1","0","0","4","0"
"1156",8,"3","2","1","1","1","1","5","5","4","2","2","1","2","1","1","2","2","1","2","1","2","2","1","2","2","2","2","2","2","2","1","2","0","2","0","1","0","1","0","2","2","1","1","2","2","0","4","2","1","1","4","0"
"1157",11,"0","1","2","1","1","1","5","5","3","2","1","1","1","1","1","1","2","1","4","4","1","2","1","1","2","1","1","1","1","2","1","2","0","1","0","0","0","0","1","2","1","1","2","2","2","1","1","2","1","1","4","0"
"1158",7,"0","2","1","1","1","1","5","5","3","2","2","1","2","2","1","2","2","1","204","3","2","2","1","2","2","1","1","2","1","2","1","2","0","2","1","1","1","2","2","1","1","1","2","2","2","1","4","1","0","0","4","0"
"1159",11,"0","1","1","1","1","1","5","5","4","1","1","1","1","1","1","2","2","1","5","1","2","2","2","2","2","2","2","2","1","2","1","2","1","0","0","1","0","1","1","1","1","1","2","2","2","1","1","1","0","0","4","0"
"1160",9,"0","2","1","1","1","1","5","5","4","2","1","1","1","1","1","1","2","1","3","2","2","2","2","2","2","2","2","2","1","1","1","2","0","1","0","0","0","0","0","1","1","2","2","2","2","1","1","2","0","0","4","0"
"1161",8,"1","1","3","2","2","1","5","5","4","2","2","1","2","1","1","2","2","1","2","1","2","2","1","2","2","2","1","1","2","2","0","2","0","2","0","0","0","1","0","2","1","1","1","2","2","0","1","2","1","0","4","0"
"1162",9,"1","1","2","1","1","1","5","5","4","1","1","2","1","1","1","2","2","1","2","1","2","2","2","2","2","2","2","2","1","2","1","2","0","1","2","0","0","0","0","1","2","1","1","2","2","0","1","1","0","0","4","0"
"1163",8,"1","1","2","1","2","1","5","5","3","2","3","1","2","1","1","2","2","1","3","1","2","2","1","2","2","2","2","1","1","2","1","2","0","2","0","0","0","0","0","1","1","1","1","2","2","1","1","3","1","0","4","2"
"1164",9,"0","1","2","1","1","1","4","5","4","2","2","1","1","1","1","2","2","1","4","2","2","2","2","2","2","2","2","2","1","2","1","2","0","2","0","0","0","0","2","1","2","1","2","2","2","0","1","2","1","1","4","0"
"1165",9,"0","1","1","1","1","1","4","3","3","2","2","1","2","1","1","2","2","1","6","1","2","2","2","1","2","1","2","1","1","2","0","1","0","1","0","0","0","0","2","4","2","1","2","2","2","1","1","4","0","1","3","0"
"1166",11,"0","1","2","1","1","1","5","5","4","1","1","1","1","1","2","2","2","1","1","2","2","2","1","2","2","2","2","2","1","2","1","2","0","2","0","0","0","1","1","4","1","1","2","2","2","0","1","2","0","1","4","1"
"1167",7,"0","2","1","1","1","1","5","5","4","1","2","1","1","1","1","2","2","1","3","5","1","1","2","2","2","1","2","2","1","2","1","2","1","2","0","0","0","0","0","4","1","1","2","2","2","0","1","1","0","1","3","0"
"1168",8,"0","2","1","1","1","1","5","4","4","1","2","1","2","1","1","2","2","1","2","3","2","2","1","2","2","2","2","2","1","2","1","2","0","2","0","1","0","1","1","2","2","1","1","2","2","0","1","1","1","0","4","0"
"1169",11,"1","1","3","1","1","1","5","5","4","2","2","1","1","1","1","2","2","1","4","3","2","2","1","2","2","1","1","1","2","2","1","2","0","2","0","0","0","0","1","1","2","1","1","2","2","1","1","2","0","0","2","0"
"1170",9,"0","1","2","1","1","1","4","4","4","1","2","2","1","1","1","2","2","1","5","2","2","2","1","2","2","2","2","2","1","2","0","1","1","1","1","1","1","1","2","1","1","1","2","2","2","0","2","1","1","0","4","2"
"1171",10,"0","1","1","1","1","1","5","5","4","1","1","1","1","1","1","2","2","1","3","2","2","2","2","2","2","2","2","2","1","2","1","2","0","2","0","0","0","0","0","2","1","1","1","2","2","0","2","1","1","1","4","0"
"1172",7,"0","1","3","1","1","1","5","5","4","2","1","1","1","1","1","2","2","1","4","1","2","2","2","2","2","2","2","2","1","1","0","2","0","0","0","0","0","0","0","1","1","1","2","2","2","0","1","4","1","0","4","0"
"1173",9,"0","1","3","1","2","1","5","5","4","2","2","1","2","1","1","2","2","1","6","1","2","2","1","1","2","1","2","1","1","1","0","2","2","1","0","1","0","2","2","1","1","1","2","2","2","1","2","2","0","0","4","1"
"1174",11,"0","1","3","1","2","1","5","5","3","2","2","1","2","2","1","1","2","1","2","1","2","2","1","1","2","1","2","1","1","2","1","1","1","1","0","2","1","0","2","1","2","2","2","2","2","0","3","1","1","0","4","2"
"1175",12,"0","1","1","1","1","1","5","5","2","2","2","2","1","1","1","2","1","1","4","2","2","2","1","2","2","1","2","1","1","2","0","2","1","1","1","0","0","0","0","2","2","1","2","2","2","1","1","2","0","0","4","0"
"1176",10,"1","1","1","1","1","1","5","5","4","1","1","1","1","1","1","2","2","1","2","2","2","2","2","2","2","2","2","2","1","2","0","2","0","1","2","0","1","1","2","1","1","1","2","2","2","0","1","2","1","0","4","0"
"1177",8,"0","1","3","1","1","1","5","5","4","2","2","1","1","1","1","2","1","1","4","5","2","2","1","2","2","2","2","2","1","2","1","2","0","2","0","0","0","0","0","2","2","1","2","2","1","0","3","2","0","1","4","0"
"1178",9,"1","1","2","1","2","1","4","5","4","2","2","1","2","2","1","2","2","1","2","1","2","2","1","2","2","2","2","2","1","1","0","2","1","2","0","1","0","0","1","1","1","1","2","2","2","1","4","2","0","0","4","2"
"1179",8,"2","1","3","1","1","1","5","5","3","2","3","1","1","1","1","2","1","1","3","1","2","2","1","2","2","1","2","1","1","1","0","2","0","2","0","0","0","0","1","1","2","1","2","2","2","1","4","2","1","0","4","1"
"1180",9,"0","1","2","1","1","1","5","5","4","2","1","1","1","1","1","2","2","1","201","1","2","2","1","2","2","2","2","2","1","2","1","2","0","1","0","0","0","0","1","1","1","1","2","2","2","1","1","1","0","1","2","0"
"1181",10,"0","1","1","1","2","1","5","5","4","2","3","1","1","1","1","2","2","1","4","1","2","2","1","2","2","1","2","2","2","2","1","2","0","0","1","2","0","2","2","2","2","1","2","2","2","0","1","4","1","0","4","0"
"1182",10,"0","2","1","1","1","1","5","5","4","2","2","1","1","1","1","2","1","1","3","1","2","2","2","2","2","2","2","2","2","2","1","2","0","2","0","0","0","1","2","1","1","1","2","2","2","1","1","3","0","0","2","0"
"1183",11,"1","2","3","1","1","1","5","5","4","2","2","1","1","1","1","2","2","1","4","1","2","2","2","2","2","2","2","2","1","2","1","2","0","2","0","0","0","0","0","1","2","1","2","2","2","0","3","3","0","0","3","1"
"1184",8,"0","2","1","2","1","1","5","5","4","2","2","1","1","1","1","1","2","2","205","5","2","2","1","2","2","1","2","2","2","1","1","2","0","2","1","0","0","1","1","2","2","2","2","1","2","0","1","3","0","0","4","0"
